t,Va,Vb,Vc,Ia,Ib,Ic,Fault
0.0178,-93.7822065,-219.3063309,313.0885374,-2969.116061,-6823.96211,9793.078171,0
0.0179,-84.08094424,-226.5767216,310.6576659,-2666.300839,-7052.037316,9718.338155,0
0.018,-74.29670425,-233.6235085,307.9202127,-2360.854304,-7273.153012,9634.007316,0
0.0181,-64.43914238,-240.4397371,304.8788795,-2053.077892,-7487.090985,9540.168877,0
0.0182,-54.51798685,-247.0186808,301.5366676,-1743.275344,-7693.640103,9436.915447,0
0.0183,-44.54302865,-253.3538468,297.8968754,-1431.752396,-7892.596527,9324.348923,0
0.0184,-34.52411185,-259.4389832,293.963095,-1118.816484,-8083.763911,9202.580395,0
0.0185,-24.47112393,-265.2680846,289.7392085,-804.7764383,-8266.953596,9071.730034,0
0.0186,-14.39398596,-270.8353984,285.2293844,-489.9421782,-8441.984796,8931.926974,0
0.0187,-4.302642861,-276.1354304,280.4380733,-174.624407,-8608.684776,8783.309183,0
0.0188,5.792946427,-281.1629501,275.3700037,140.8656946,-8766.889023,8626.023329,0
0.0189,15.88281878,-285.9129959,270.0301771,456.2167759,-8916.44141,8460.224634,0
0.019,25.9570167,-290.38088,264.4238633,771.1176235,-9057.194345,8286.076722,0
0.0191,36.00559819,-294.5621934,258.5565952,1085.257468,-9189.008923,8103.751455,0
0.0192,46.0186465,-298.4528093,252.4341628,1398.326292,-9311.755059,7913.428767,0
0.0193,55.98627996,-302.0488884,246.0626085,1710.015134,-9425.311617,7715.296482,0
0.0194,65.89866173,-305.3468817,239.44822,2020.016395,-9529.56653,7509.550135,0
0.0195,75.74600947,-308.3435345,232.5975251,2328.02414,-9624.416911,7296.392771,0
0.0196,85.51860505,-311.0358895,225.5172845,2633.734404,-9709.769155,7076.034751,0
0.0197,95.20680409,-313.4212896,218.2144855,2936.845487,-9785.539029,6848.693541,0
0.0198,104.8010455,-315.4973807,210.6963352,3237.058256,-9851.651757,6614.593501,0
0.0199,114.291861,-317.262114,202.970253,3534.076436,-9908.042094,6373.965659,0
0.02,123.6698841,-318.7137479,195.0438638,3827.606906,-9954.654391,6127.047484,0
0.0201,132.9258601,-319.8508498,186.9249897,4117.359988,-9991.442645,5874.082657,0
0.0202,142.0506542,-320.6722975,178.6216433,4403.04973,-10018.37055,5615.320822,0
0.0203,151.0352615,-321.1772804,170.1420189,4684.39419,-10035.41154,5351.017345,0
0.0204,159.8708153,-321.3653001,161.4944848,4961.115716,-10042.54878,5081.433064,0
0.0205,168.5485958,-321.236171,152.6875752,5232.941217,-10039.77524,4806.834025,0
0.0206,177.0600393,-320.7900206,143.7299813,5499.602434,-10027.09366,4527.491223,0
0.0207,185.3967458,-320.0272892,134.6305434,5760.836204,-10004.51654,4243.680337,0
0.0208,193.5504882,-318.9487295,125.3982413,6016.384722,-9972.066176,3955.681454,0
0.0209,201.5132196,-317.5554059,116.0421863,6265.995792,-9929.774585,3663.778793,0
0.021,209.2770818,-315.8486935,106.5716117,6509.423078,-9877.683506,3368.260428,0
0.0211,216.8344127,-313.8302765,96.99586378,6746.426346,-9815.844345,3069.418,0
0.0212,224.1777543,-311.5021469,87.32439264,6976.771703,-9744.318132,2767.546429,0
0.0213,231.2998595,-308.8666024,77.56674287,7200.231826,-9663.175452,2462.943627,0
0.0214,238.1936997,-305.9262437,67.73254409,7416.586186,-9572.496385,2155.910199,0
0.0215,244.8524714,-302.6839729,57.83150146,7625.621269,-9472.37042,1846.749152,0
0.0216,251.2696033,-299.1429894,47.87338612,7827.130781,-9362.896369,1535.765588,0
0.0217,257.4387625,-295.306788,37.86802552,8020.915857,-9244.18227,1223.266413,0
0.0218,263.3538606,-291.1791544,27.82529376,8206.785255,-9116.345279,909.5600236,0
0.0219,269.0090604,-286.7641621,17.75510179,8384.555544,-8979.511555,594.9560113,0
0.022,274.3987806,-282.0661683,7.667387673,8554.051286,-8833.816138,279.7648521,0
0.0221,279.5177024,-277.0898092,-2.427893228,8715.105209,-8679.402811,-35.70239842,0
0.0222,284.360774,-271.8399959,-12.52077809,8867.558373,-8516.423961,-351.1344122,0
0.0223,288.9232158,-266.3219093,-22.60130646,9011.260325,-8345.040429,-666.2198959,0
0.0224,293.2005252,-260.5409952,-32.65953007,9146.069247,-8165.421349,-980.6478981,0
